feature,mean_abs_shap
EXT_SOURCE_2,0.33581108
EXT_SOURCE_3,0.31137282
EXT_SOURCE_1,0.17178845
installment_ontime_ratio,0.13902254
previous_avg_credit_to_application_ratio,0.13582715
ANNUITY_TO_CREDIT,0.12055411
AMT_GOODS_PRICE,0.10958646
CODE_GENDER,0.10875895
OWN_CAR_AGE,0.092717655
NAME_EDUCATION_TYPE,0.081715286
OCCUPATION_TYPE,0.074709244
ORGANIZATION_TYPE,0.07300705
YEARS_EMPLOYED,0.07227345
NAME_CONTRACT_TYPE,0.06658151
CREDIT_UTILIZATION,0.064610034
bureau_most_recent_days,0.05515042
installment_total_paid,0.052106757
AMT_ANNUITY,0.04852743
DAYS_EMPLOYED,0.04588049
installment_avg_paid,0.04431436
previous_refused_count,0.03836703
installment_payment_ratio,0.035745494
bureau_avg_debt,0.034764968
pos_cash_oldest_month,0.03212399
credit_card_avg_drawings,0.030003818
DAYS_BIRTH,0.029425915
REGION_RATING_CLIENT_W_CITY,0.029197885
pos_cash_record_count,0.029128006
installment_total_due,0.028647013
credit_card_total_payment,0.027198575
DAYS_LAST_PHONE_CHANGE,0.026778372
REGION_POPULATION_RELATIVE,0.026352938
pos_cash_active_count,0.02608276
PREVIOUS_REFUSAL_COUNT,0.02507536
DAYS_ID_PUBLISH,0.024139231
AMT_CREDIT,0.02294094
bureau_total_credit_limit,0.02132467
credit_card_avg_balance,0.019152634
NAME_INCOME_TYPE,0.018237038
pos_cash_avg_dpd_def,0.017591903
TOTALAREA_MODE,0.01734686
bureau_total_debt,0.016671391
credit_card_max_balance,0.016505592
DAYS_REGISTRATION,0.01582564
YEARS_BEGINEXPLUATATION_MODE,0.015105439
pos_cash_max_dpd_def,0.013973413
installment_avg_due,0.013690457
credit_card_avg_receivable,0.012161233
FLOORSMAX_MEDI,0.011664997
ENTRANCES_MODE,0.010919561
bureau_oldest_days,0.010636925
bureau_balance_avg_months_per_credit,0.010541393
credit_card_total_drawings,0.010434621
credit_card_avg_payment,0.009457768
APARTMENTS_MODE,0.009429769
WALLSMATERIAL_MODE,0.009204226
HOUSETYPE_MODE,0.007578399
ENTRANCES_AVG,0.007321366
APARTMENTS_AVG,0.0061929924
bureau_avg_credit_limit,0.006178085
ENTRANCES_MEDI,0.0058769337
NONLIVINGAREA_MEDI,0.0056758625
APARTMENTS_MEDI,0.0054217097
FLOORSMAX_AVG,0.00443143
NONLIVINGAREA_MODE,0.0044098925
BASEMENTAREA_AVG,0.0042377627
BASEMENTAREA_MODE,0.003999563
YEARS_BEGINEXPLUATATION_AVG,0.0037630505
LIVINGAREA_AVG,0.0033699844
LIVINGAREA_MEDI,0.0029219151
ELEVATORS_AVG,0.0028609675
YEARS_BEGINEXPLUATATION_MEDI,0.0028460275
LIVINGAREA_MODE,0.0027954157
FLOORSMAX_MODE,0.0027481231
BASEMENTAREA_MEDI,0.0026834446
REGION_RATING_CLIENT,0.002325504
NONLIVINGAREA_AVG,0.0020090463
ELEVATORS_MODE,0.00078297284
EMERGENCYSTATE_MODE,0.0005896623
ELEVATORS_MEDI,0.00048394522
